System,Type,Name,SubName,Datatype,Description
Keap,company,address.country_code,,string,
Keap,company,address.line1,,string,
Keap,company,address.line2,,string,
Keap,company,address.locality,,string,
Keap,company,address.region,,string,
Keap,company,address.zip_code,,string,
Keap,company,address.zip_four,,string,
Keap,company,company_name,,string,
Keap,company,custom_fields,content,object,
Keap,company,custom_fields,id,integer,
Keap,company,email_address,,string,
Keap,company,email_opted_in,,boolean,
Keap,company,email_status,,string,
Keap,company,fax_number.number,,string,
Keap,company,fax_number.type,,string,
Keap,company,id,,integer,
Keap,company,notes,,string,
Keap,company,phone_number.extension,,string,
Keap,company,phone_number.number,,string,
Keap,company,phone_number.type,,string,
Keap,company,website,,string,
Keap,contact,ScoreValue,,string,
Keap,contact,addresses,,array,
Keap,contact,company.company_name,,string,
Keap,contact,company.id,,integer,
Keap,contact,date_created,,string,
Keap,contact,email_addresses,email,string,
Keap,contact,email_addresses,field,string,
Keap,contact,email_opted_in,,boolean,
Keap,contact,email_status,,string,
Keap,contact,family_name,,string,
Keap,contact,given_name,,string,
Keap,contact,id,,integer,
Keap,contact,last_updated,,string,
Keap,contact,last_updated_utc_millis,,integer,
Keap,contact,middle_name,,string,
Keap,contact,owner_id,,integer,
Keap,contact,phone_numbers,extension,null,
Keap,contact,phone_numbers,field,string,
Keap,contact,phone_numbers,number,string,
Keap,contact,phone_numbers,type,string,
Keap,contact,tag_ids,,array,
